param_max_depth;param_min_samples_leaf;param_min_samples_split;param_n_estimators;RMSE_medio_CV;RMSE_Test_2025
5;1;2;100;3,85285;
5;1;2;200;3,85078;
5;1;5;100;3,85283;
5;1;5;200;3,84998;
5;2;2;100;3,8493;
5;2;2;200;3,84716;
5;2;5;100;3,84749;
5;2;5;200;3,84616;3,03052
10;1;2;100;3,90841;
10;1;2;200;3,90398;
10;1;5;100;3,90966;
10;1;5;200;3,90152;
10;2;2;100;3,90142;
10;2;2;200;3,8991;
10;2;5;100;3,8943;
10;2;5;200;3,89316;
;1;2;100;3,9512;
;1;2;200;3,94232;
;1;5;100;3,93193;
;1;5;200;3,92765;
;2;2;100;3,93135;
;2;2;200;3,9251;
;2;5;100;3,92716;
;2;5;200;3,92182;
