param_learning_rate;param_max_depth;param_n_estimators;param_subsample;RMSE_medio_CV;rank_test_score;RMSE_Test_2025;STD_DEV_Test_2025
0,01;3;100;0,8;4,28318;35;;
0,01;3;100;1,0;4,31253;36;;
0,01;3;300;0,8;3,49343;1;2,60423;2,58171
0,01;3;300;1,0;3,50753;2;;
0,01;6;100;0,8;4,15496;32;;
0,01;6;100;1,0;4,15253;31;;
0,01;6;300;0,8;3,55466;3;;
0,01;6;300;1,0;3,60973;4;;
0,01;10;100;0,8;4,22773;33;;
0,01;10;100;1,0;4,24746;34;;
0,01;10;300;0,8;3,64218;6;;
0,01;10;300;1,0;3,70543;8;;
0,1;3;100;0,8;3,6409;5;;
0,1;3;100;1,0;3,64304;7;;
0,1;3;300;0,8;3,76223;11;;
0,1;3;300;1,0;3,77897;13;;
0,1;6;100;0,8;3,75621;10;;
0,1;6;100;1,0;3,76702;12;;
0,1;6;300;0,8;3,81811;17;;
0,1;6;300;1,0;3,82862;20;;
0,1;10;100;0,8;3,79353;14;;
0,1;10;100;1,0;3,85935;27;;
0,1;10;300;0,8;3,81013;16;;
0,1;10;300;1,0;3,87486;29;;
0,2;3;100;0,8;3,74646;9;;
0,2;3;100;1,0;3,81989;19;;
0,2;3;300;0,8;3,83857;25;;
0,2;3;300;1,0;3,98548;30;;
0,2;6;100;0,8;3,7974;15;;
0,2;6;100;1,0;3,81977;18;;
0,2;6;300;0,8;3,83176;21;;
0,2;6;300;1,0;3,8615;28;;
0,2;10;100;0,8;3,8327;22;;
0,2;10;100;1,0;3,83607;23;;
0,2;10;300;0,8;3,83621;24;;
0,2;10;300;1,0;3,84056;26;;
